Date,Description,Amount,Bank
2025-07-29,hanife selen ozsuslu,-212.0,ish
2025-07-29,migros,-1877.31,ish
2025-07-30,migros,-1408.39,ish
2025-08-02,9936 d956 a101 villa ke,-81.0,ish
2025-08-02,kafkas argin,-597.0,ish
2025-08-03,oses çi̇ğköfte,-220.0,ish
2025-08-03,migros,-3172.12,ish
2025-08-06,migros,-934.62,ish
2025-08-06,migros,-534.43,ish
2025-08-09,uğur bi̇si̇klet,-1800.0,ish
2025-08-09,cms gida kafe restoran,-480.0,ish
2025-08-09,oses çi̇ğköfte,-120.0,ish
2025-08-10,migros,-2686.36,ish
2025-08-12,cms gida kafe restoran,-510.0,ish
2025-08-15,migros,-2708.77,ish
2025-08-16,cms gida kafe restoran,-540.0,ish
2025-08-17,si̇nan şeker gel adalya,-479.97,ish
2025-08-17,oses çi̇gköfte,-240.0,ish
2025-08-18,file hurma / konyaalti,-540.61,ish
2025-08-18,migros,-1745.31,ish
2025-08-20,bulka firin cafe,-100.0,ish
2025-08-21,cms gida kafe restoran,-530.0,ish
2025-08-22,royal hayat hotel,-2200.0,ish
2025-08-23,cms gida kafe restoran,-475.0,ish
2025-08-23,migros,-2156.45,ish
2025-08-26,papatya agiz dis saglig,-2750.0,ish
2025-08-26,antakyali̇lar i̇n,-480.0,ish
2025-08-26,migros,-834.81,ish
2025-08-27,venüs eczanesi̇,-208.0,ish
2025-08-27,bogacay eczanesi,-5650.0,ish
2025-08-27,hanife selen ozsuslu,-1216.0,ish
2025-08-27,hanife selen ozsuslu,-1000.0,ish
2025-08-27,oses çi̇ğköfte,-250.0,ish
2025-08-28,papatya agiz dis saglig,-3250.0,ish
2025-08-28,dogantan eczanesi,-205.0,ish
2025-08-30,cms gida kafe restoran,-625.0,ish
2025-08-30,migros,-2679.29,ish
2025-09-03,papatya agiz dis saglig,-6000.0,ish
2025-09-04,migros,-5032.43,ish
2025-09-06,cms gida kafe restoran,-895.0,ish
2025-09-06,9936 d956 a101 villa ke,-16.0,ish
2025-09-07,oses çi̇gköfte,-560.0,ish
2025-09-07,migros,-3774.23,ish
2025-09-08,migros,-337.6,ish
2025-09-08,venüs eczanesi̇,-3649.0,ish
2025-09-09,cms gida kafe restoran,-740.0,ish
2025-09-12,v gurme li̇man,-2942.0,ish
2025-09-13,oses çi̇gköfte,-440.0,ish
2025-09-14,migros,-2593.6,ish
2025-09-14,bulka firin cafe,-15.0,ish
2025-09-15,uğur bi̇si̇klet,-150.0,ish
2025-09-15,cms gida kafe restoran,-1028.0,ish
2025-09-16,vr tekstil,-1050.0,ish
2025-09-18,park 3,-4000.0,ish
2025-09-19,lcwaikiki antalya rixos,-1509.96,ish
2025-09-19,park 3,-4150.0,ish
2025-09-20,intersport land of lege,-9498.0,ish
2025-09-20,tema park eczanesi,-210.0,ish
2025-09-21,migros,-3231.44,ish
2025-09-21,file hurma / konyaalti,-553.65,ish
2025-09-21,file hurma / konyaalti,-162.5,ish
2025-09-24,v gurme li̇man,-2818.65,ish
2025-09-26,iva sushi bistro,-1266.5,ish
2025-09-27,cms gida kafe restoran,-375.0,ish
2025-09-27,cms gida kafe restoran,-350.0,ish
2025-09-28,migros,-2984.09,ish
2025-09-28,file hurma / konyaalti,-730.1,ish
2025-01-08,antalya gaz enerya,-250.0,ziraat
2025-01-08,clk akdeni̇z,-3195.0,ziraat
2025-01-09,antalya gaz enerya,-210.0,ziraat
2025-01-09,clk akdeni̇z,-2410.0,ziraat
2025-01-10,antalya gaz enerya,-230.0,ziraat
2025-01-10,clk akdeni̇z,-2335.0,ziraat
2025-06-07,hurma sarisu antalya,-870.75,ziraat
2025-06-07,hurma sarisu antalya,-145.75,ziraat
2025-07-07,venus eczanesi,-3225.0,ziraat
2025-07-13,5307 csa/hurma,-579.84,ziraat
2025-07-13,hurma sarisu antalya,-761.81,ziraat
2025-07-17,black island cafe,-495.0,ziraat
2025-07-18,grande home,-708.8,ziraat
2025-07-19,migros uncali 23. ca,-936.01,ziraat
2025-07-23,grande home,-225.2,ziraat
2025-07-24,tavuk dunyasi liman,-740.0,ziraat
2025-09-07,birim avm,-270.0,ziraat
2025-09-08,iyzico /ridebeam.com,-52.44,ziraat
2025-09-08,iyzico /ridebeam.com,-8.79,ziraat
2025-09-08,iyzico /ridebeam.com,-37.6,ziraat
2025-09-13,cms gida kafe restor,-340.0,ziraat
2025-09-13,cms gida kafe restor,-920.0,ziraat
2025-09-14,a101 9936 g981 8dura,-55.0,ziraat
2025-09-17,antalya gaz enerya,-180.0,ziraat
2025-09-22,a101 9936 g981 8dura,-150.0,ziraat
2025-10-07,black island cafe,-450.0,ziraat
2025-11-07,migros uncali 23. ca,-302.85,ziraat
2025-12-07,grande home banio un,-234.9,ziraat
